iter	Passed	Remaining
0	66	660687
1	68	341989
2	70	236100
3	75	187597
4	79	158684
5	83	138409
6	90	128747
7	96	120271
8	99	110031
9	102	102747
10	106	96644
11	109	91496
12	113	86958
13	116	83198
14	119	79763
15	123	77369
16	126	74014
17	130	72150
18	133	70062
19	136	68159
20	140	66577
21	143	64983
22	147	63829
23	150	62562
24	153	61309
25	157	60289
26	160	59449
27	164	58556
28	168	57828
29	172	57222
30	175	56349
31	178	55738
32	183	55398
33	187	54882
34	194	55404
35	199	55226
36	205	55225
37	210	55129
38	215	54985
39	221	55095
40	228	55564
41	232	55212
42	238	55217
43	242	54960
44	248	55021
45	253	54903
46	259	54895
47	262	54402
48	266	54047
49	271	53935
50	275	53722
51	279	53461
52	285	53569
53	288	53219
54	293	52991
55	296	52649
56	300	52498
57	307	52626
58	310	52256
59	313	51914
60	316	51596
61	320	51361
62	323	51079
63	329	51223
64	336	51372
65	339	51089
66	343	50891
67	347	50737
68	351	50539
69	355	50395
70	359	50284
71	369	50927
72	371	50483
73	374	50172
74	376	49780
75	377	49348
76	380	49006
77	382	48620
78	384	48228
79	386	47887
80	388	47528
81	390	47193
82	391	46823
83	393	46452
84	398	46429
85	507	58488
86	527	60151
87	534	60245
88	539	60123
89	548	60367
90	551	60102
91	555	59845
92	559	59550
93	563	59390
94	567	59160
95	571	58951
96	575	58754
97	579	58517
98	583	58361
99	587	58179
100	592	58045
101	597	57982
102	599	57596
103	601	57201
104	604	56990
105	609	56847
106	613	56725
107	617	56565
108	620	56280
109	623	56102
110	627	55914
111	631	55742
112	636	55668
113	643	55765
114	647	55615
115	651	55521
116	654	55310
117	659	55210
118	663	55092
119	667	54930
120	670	54733
121	674	54594
122	678	54485
123	682	54377
124	687	54343
125	691	54221
126	695	54096
127	699	53968
128	703	53863
129	707	53752
130	712	53671
131	716	53554
132	719	53401
133	723	53298
134	727	53147
135	732	53122
136	735	52976
137	739	52864
138	744	52814
139	749	52773
140	753	52654
141	757	52563
142	760	52448
143	765	52374
144	769	52307
145	774	52263
146	780	52299
147	783	52158
148	788	52147
149	792	52061
150	797	52014
151	801	51910
152	805	51823
153	809	51753
154	813	51663
155	816	51535
156	821	51511
157	826	51489
158	830	51384
159	835	51374
160	839	51323
161	844	51281
162	848	51190
163	852	51142
164	856	51047
165	860	50993
166	865	50933
167	870	50953
168	874	50867
169	878	50798
170	881	50662
171	885	50581
172	888	50480
173	891	50370
174	895	50285
175	898	50179
176	902	50080
177	906	50016
178	910	49944
179	913	49861
180	917	49770
181	920	49668
182	924	49614
183	928	49520
184	932	49455
185	935	49381
186	939	49299
187	943	49220
188	949	49269
189	952	49171
190	955	49094
191	959	49012
192	963	48934
193	965	48824
194	968	48721
195	972	48647
196	975	48521
197	979	48479
198	983	48439
199	987	48388
200	991	48323
201	994	48255
202	998	48211
203	1002	48122
204	1006	48073
205	1009	47978
206	1013	47945
207	1017	47890
208	1021	47857
209	1025	47805
210	1029	47758
211	1033	47722
212	1040	47815
213	1046	47841
214	1054	47990
215	1061	48072
216	1069	48223
217	1073	48174
218	1078	48166
219	1083	48149
220	1087	48131
221	1091	48067
222	1098	48157
223	1101	48084
224	1105	48029
225	1109	47971
226	1111	47860
227	1115	47813
228	1120	47825
229	1124	47786
230	1127	47662
231	1129	47563
232	1132	47466
233	1136	47424
234	1139	47354
235	1144	47349
236	1148	47324
237	1152	47259
238	1155	47180
239	1160	47183
240	1164	47165
241	1167	47094
242	1172	47062
243	1179	47149
244	1183	47105
245	1187	47095
246	1194	47162
247	1197	47089
248	1201	47036
249	1204	46979
250	1208	46928
251	1220	47198
252	1223	47143
253	1228	47124
254	1232	47095
255	1236	47074
256	1240	47044
257	1245	47014
258	1249	46976
259	1252	46927
260	1256	46882
261	1266	47059
262	1269	47002
263	1273	46962
264	1277	46922
265	1280	46858
266	1284	46822
267	1288	46773
268	1292	46744
269	1295	46702
270	1299	46663
271	1303	46635
272	1309	46672
273	1313	46641
274	1319	46646
275	1323	46645
276	1328	46644
277	1333	46644
278	1339	46669
279	1346	46737
280	1352	46786
281	1360	46870
282	1370	47066
283	1375	47069
284	1380	47054
285	1385	47052
286	1389	47015
287	1394	47021
288	1398	46984
289	1402	46973
290	1406	46927
291	1410	46894
292	1415	46886
293	1418	46839
294	1422	46806
